"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 10:27:52 GMT 2024","Wed Feb 07 10:28:06 GMT 2024","14353","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Wed Feb 07 10:30:21 GMT 2024","Wed Feb 07 10:30:27 GMT 2024","6483","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Wed Feb 07 10:30:28 GMT 2024","Wed Feb 07 10:30:34 GMT 2024","6266","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Wed Feb 07 10:30:00 GMT 2024","Wed Feb 07 10:30:07 GMT 2024","6612","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Wed Feb 07 10:28:06 GMT 2024","Wed Feb 07 10:28:14 GMT 2024","7857","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Wed Feb 07 10:28:29 GMT 2024","Wed Feb 07 10:28:36 GMT 2024","6672","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Wed Feb 07 10:29:40 GMT 2024","Wed Feb 07 10:29:46 GMT 2024","6427","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Wed Feb 07 10:28:14 GMT 2024","Wed Feb 07 10:28:21 GMT 2024","6537","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Wed Feb 07 10:29:30 GMT 2024","Wed Feb 07 10:29:40 GMT 2024","9695","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Wed Feb 07 10:29:17 GMT 2024","Wed Feb 07 10:29:26 GMT 2024","8667","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Feb 07 10:29:26 GMT 2024","Wed Feb 07 10:29:29 GMT 2024","3059","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Wed Feb 07 10:30:07 GMT 2024","Wed Feb 07 10:30:14 GMT 2024","7463","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Wed Feb 07 10:28:36 GMT 2024","Wed Feb 07 10:28:39 GMT 2024","2815","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Wed Feb 07 10:29:03 GMT 2024","Wed Feb 07 10:29:17 GMT 2024","14293","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Wed Feb 07 10:30:36 GMT 2024","Wed Feb 07 10:30:47 GMT 2024","11378","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Wed Feb 07 10:29:54 GMT 2024","Wed Feb 07 10:30:00 GMT 2024","6030","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Wed Feb 07 10:29:47 GMT 2024","Wed Feb 07 10:29:54 GMT 2024","7549","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Wed Feb 07 10:28:21 GMT 2024","Wed Feb 07 10:28:28 GMT 2024","7077","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Wed Feb 07 10:30:14 GMT 2024","Wed Feb 07 10:30:21 GMT 2024","6687","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
