"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Dec 04 10:50:53 GMT 2023","Mon Dec 04 10:50:59 GMT 2023","6371","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Mon Dec 04 10:49:01 GMT 2023","Mon Dec 04 10:49:07 GMT 2023","6469","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Mon Dec 04 10:50:41 GMT 2023","Mon Dec 04 10:50:47 GMT 2023","5961","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Mon Dec 04 10:49:57 GMT 2023","Mon Dec 04 10:50:04 GMT 2023","7574","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Mon Dec 04 10:50:28 GMT 2023","Mon Dec 04 10:50:34 GMT 2023","6381","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Mon Dec 04 10:50:59 GMT 2023","Mon Dec 04 10:51:06 GMT 2023","6370","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Mon Dec 04 10:50:47 GMT 2023","Mon Dec 04 10:50:53 GMT 2023","6461","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Mon Dec 04 10:49:20 GMT 2023","Mon Dec 04 10:49:22 GMT 2023","2907","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Mon Dec 04 10:49:07 GMT 2023","Mon Dec 04 10:49:13 GMT 2023","6399","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Mon Dec 04 10:51:07 GMT 2023","Mon Dec 04 10:51:15 GMT 2023","8024","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Mon Dec 04 10:48:54 GMT 2023","Mon Dec 04 10:49:01 GMT 2023","6148","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Mon Dec 04 10:48:47 GMT 2023","Mon Dec 04 10:48:54 GMT 2023","7231","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Mon Dec 04 10:50:04 GMT 2023","Mon Dec 04 10:50:07 GMT 2023","2671","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Mon Dec 04 10:49:15 GMT 2023","Mon Dec 04 10:49:20 GMT 2023","4439","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Mon Dec 04 10:50:15 GMT 2023","Mon Dec 04 10:50:21 GMT 2023","6321","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Mon Dec 04 10:50:08 GMT 2023","Mon Dec 04 10:50:15 GMT 2023","6760","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Mon Dec 04 10:49:45 GMT 2023","Mon Dec 04 10:49:57 GMT 2023","11550","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Mon Dec 04 10:50:21 GMT 2023","Mon Dec 04 10:50:28 GMT 2023","6242","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Mon Dec 04 10:50:34 GMT 2023","Mon Dec 04 10:50:41 GMT 2023","6475","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
