"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 10:37:49 GMT 2023","Tue Nov 07 10:38:02 GMT 2023","13162","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Tue Nov 07 10:37:08 GMT 2023","Tue Nov 07 10:37:15 GMT 2023","6585","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Tue Nov 07 10:36:46 GMT 2023","Tue Nov 07 10:36:55 GMT 2023","9369","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Tue Nov 07 10:38:16 GMT 2023","Tue Nov 07 10:38:24 GMT 2023","8519","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Tue Nov 07 10:39:15 GMT 2023","Tue Nov 07 10:39:24 GMT 2023","9158","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Tue Nov 07 10:38:49 GMT 2023","Tue Nov 07 10:38:55 GMT 2023","5984","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Tue Nov 07 10:38:02 GMT 2023","Tue Nov 07 10:38:11 GMT 2023","8619","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Tue Nov 07 10:36:55 GMT 2023","Tue Nov 07 10:37:02 GMT 2023","6710","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Tue Nov 07 10:37:17 GMT 2023","Tue Nov 07 10:37:22 GMT 2023","5399","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Tue Nov 07 10:37:22 GMT 2023","Tue Nov 07 10:37:25 GMT 2023","2972","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Tue Nov 07 10:38:11 GMT 2023","Tue Nov 07 10:38:14 GMT 2023","3022","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Tue Nov 07 10:38:37 GMT 2023","Tue Nov 07 10:38:43 GMT 2023","5830","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Tue Nov 07 10:38:24 GMT 2023","Tue Nov 07 10:38:31 GMT 2023","6620","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Tue Nov 07 10:38:31 GMT 2023","Tue Nov 07 10:38:37 GMT 2023","5983","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Tue Nov 07 10:39:07 GMT 2023","Tue Nov 07 10:39:13 GMT 2023","6044","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Tue Nov 07 10:37:02 GMT 2023","Tue Nov 07 10:37:08 GMT 2023","6634","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Tue Nov 07 10:39:00 GMT 2023","Tue Nov 07 10:39:07 GMT 2023","6841","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Tue Nov 07 10:38:43 GMT 2023","Tue Nov 07 10:38:49 GMT 2023","5945","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Tue Nov 07 10:38:55 GMT 2023","Tue Nov 07 10:39:00 GMT 2023","5893","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
