"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 10 10:38:38 GMT 2023","Fri Nov 10 10:38:48 GMT 2023","10379","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Fri Nov 10 10:37:04 GMT 2023","Fri Nov 10 10:37:11 GMT 2023","6782","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Fri Nov 10 10:36:40 GMT 2023","Fri Nov 10 10:36:50 GMT 2023","9851","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Fri Nov 10 10:36:57 GMT 2023","Fri Nov 10 10:37:04 GMT 2023","7039","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Fri Nov 10 10:38:18 GMT 2023","Fri Nov 10 10:38:25 GMT 2023","6837","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Fri Nov 10 10:37:27 GMT 2023","Fri Nov 10 10:37:31 GMT 2023","3553","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Fri Nov 10 10:38:54 GMT 2023","Fri Nov 10 10:39:01 GMT 2023","7073","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Fri Nov 10 10:38:48 GMT 2023","Fri Nov 10 10:38:54 GMT 2023","6165","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Fri Nov 10 10:38:25 GMT 2023","Fri Nov 10 10:38:31 GMT 2023","6093","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Fri Nov 10 10:38:05 GMT 2023","Fri Nov 10 10:38:07 GMT 2023","2778","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Fri Nov 10 10:37:58 GMT 2023","Fri Nov 10 10:38:05 GMT 2023","6829","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Fri Nov 10 10:37:48 GMT 2023","Fri Nov 10 10:37:58 GMT 2023","9333","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Fri Nov 10 10:39:09 GMT 2023","Fri Nov 10 10:39:16 GMT 2023","6577","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Fri Nov 10 10:38:09 GMT 2023","Fri Nov 10 10:38:18 GMT 2023","9072","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Fri Nov 10 10:39:01 GMT 2023","Fri Nov 10 10:39:09 GMT 2023","8044","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Fri Nov 10 10:37:13 GMT 2023","Fri Nov 10 10:37:27 GMT 2023","14294","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Fri Nov 10 10:36:50 GMT 2023","Fri Nov 10 10:36:57 GMT 2023","7162","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Fri Nov 10 10:38:31 GMT 2023","Fri Nov 10 10:38:38 GMT 2023","6548","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Fri Nov 10 10:39:18 GMT 2023","Fri Nov 10 10:39:27 GMT 2023","9173","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
