"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 27 10:31:50 GMT 2023","Mon Nov 27 10:31:56 GMT 2023","6025","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Mon Nov 27 10:32:08 GMT 2023","Mon Nov 27 10:32:15 GMT 2023","6998","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Mon Nov 27 10:31:26 GMT 2023","Mon Nov 27 10:31:32 GMT 2023","6293","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Mon Nov 27 10:31:44 GMT 2023","Mon Nov 27 10:31:50 GMT 2023","6029","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Mon Nov 27 10:30:26 GMT 2023","Mon Nov 27 10:30:33 GMT 2023","6564","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Mon Nov 27 10:31:38 GMT 2023","Mon Nov 27 10:31:44 GMT 2023","5839","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Mon Nov 27 10:31:13 GMT 2023","Mon Nov 27 10:31:16 GMT 2023","3200","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Mon Nov 27 10:31:32 GMT 2023","Mon Nov 27 10:31:38 GMT 2023","5912","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Mon Nov 27 10:30:58 GMT 2023","Mon Nov 27 10:31:06 GMT 2023","7867","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Mon Nov 27 10:30:20 GMT 2023","Mon Nov 27 10:30:26 GMT 2023","6598","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Mon Nov 27 10:32:02 GMT 2023","Mon Nov 27 10:32:08 GMT 2023","6409","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Mon Nov 27 10:31:18 GMT 2023","Mon Nov 27 10:31:26 GMT 2023","7875","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Mon Nov 27 10:31:56 GMT 2023","Mon Nov 27 10:32:02 GMT 2023","5940","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Mon Nov 27 10:32:17 GMT 2023","Mon Nov 27 10:32:24 GMT 2023","7111","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Mon Nov 27 10:30:39 GMT 2023","Mon Nov 27 10:30:42 GMT 2023","2678","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Mon Nov 27 10:30:13 GMT 2023","Mon Nov 27 10:30:20 GMT 2023","6529","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Mon Nov 27 10:30:05 GMT 2023","Mon Nov 27 10:30:13 GMT 2023","8536","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Mon Nov 27 10:31:06 GMT 2023","Mon Nov 27 10:31:13 GMT 2023","6672","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Mon Nov 27 10:30:35 GMT 2023","Mon Nov 27 10:30:39 GMT 2023","4367","","Validação da home principal","","","","Deve validar o banner do portal",""
