"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 14 10:44:28 GMT 2024","Wed Feb 14 10:44:35 GMT 2024","6588","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Wed Feb 14 10:44:48 GMT 2024","Wed Feb 14 10:44:55 GMT 2024","6895","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Wed Feb 14 10:43:02 GMT 2024","Wed Feb 14 10:43:09 GMT 2024","6712","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Wed Feb 14 10:44:35 GMT 2024","Wed Feb 14 10:44:42 GMT 2024","6469","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Wed Feb 14 10:45:10 GMT 2024","Wed Feb 14 10:45:18 GMT 2024","7547","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Feb 14 10:42:48 GMT 2024","Wed Feb 14 10:42:55 GMT 2024","7167","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Wed Feb 14 10:44:55 GMT 2024","Wed Feb 14 10:45:02 GMT 2024","6433","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Wed Feb 14 10:43:10 GMT 2024","Wed Feb 14 10:43:14 GMT 2024","4141","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Wed Feb 14 10:44:03 GMT 2024","Wed Feb 14 10:44:06 GMT 2024","3007","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Feb 14 10:43:15 GMT 2024","Wed Feb 14 10:43:17 GMT 2024","2676","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Wed Feb 14 10:44:22 GMT 2024","Wed Feb 14 10:44:28 GMT 2024","6387","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Wed Feb 14 10:44:42 GMT 2024","Wed Feb 14 10:44:48 GMT 2024","6917","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Wed Feb 14 10:42:55 GMT 2024","Wed Feb 14 10:43:02 GMT 2024","6544","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Feb 14 10:43:41 GMT 2024","Wed Feb 14 10:43:54 GMT 2024","12493","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Wed Feb 14 10:44:15 GMT 2024","Wed Feb 14 10:44:22 GMT 2024","6823","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Wed Feb 14 10:42:40 GMT 2024","Wed Feb 14 10:42:48 GMT 2024","8387","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Wed Feb 14 10:44:07 GMT 2024","Wed Feb 14 10:44:15 GMT 2024","7987","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Wed Feb 14 10:43:54 GMT 2024","Wed Feb 14 10:44:03 GMT 2024","8735","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Wed Feb 14 10:45:02 GMT 2024","Wed Feb 14 10:45:08 GMT 2024","6604","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
