"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 10:46:02 GMT 2024","Mon Feb 12 10:46:05 GMT 2024","3311","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Mon Feb 12 10:47:53 GMT 2024","Mon Feb 12 10:47:59 GMT 2024","6511","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Mon Feb 12 10:47:27 GMT 2024","Mon Feb 12 10:47:33 GMT 2024","6626","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Mon Feb 12 10:46:30 GMT 2024","Mon Feb 12 10:46:43 GMT 2024","13499","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Mon Feb 12 10:48:01 GMT 2024","Mon Feb 12 10:48:10 GMT 2024","9315","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Mon Feb 12 10:45:47 GMT 2024","Mon Feb 12 10:45:54 GMT 2024","7326","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Mon Feb 12 10:46:43 GMT 2024","Mon Feb 12 10:46:52 GMT 2024","8888","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Mon Feb 12 10:46:52 GMT 2024","Mon Feb 12 10:46:55 GMT 2024","3209","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Mon Feb 12 10:47:33 GMT 2024","Mon Feb 12 10:47:40 GMT 2024","6605","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Mon Feb 12 10:47:13 GMT 2024","Mon Feb 12 10:47:20 GMT 2024","6477","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Mon Feb 12 10:45:40 GMT 2024","Mon Feb 12 10:45:47 GMT 2024","6711","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Mon Feb 12 10:47:40 GMT 2024","Mon Feb 12 10:47:46 GMT 2024","6287","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Mon Feb 12 10:47:20 GMT 2024","Mon Feb 12 10:47:27 GMT 2024","6839","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Mon Feb 12 10:45:23 GMT 2024","Mon Feb 12 10:45:33 GMT 2024","10122","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Mon Feb 12 10:46:57 GMT 2024","Mon Feb 12 10:47:07 GMT 2024","10032","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Mon Feb 12 10:45:56 GMT 2024","Mon Feb 12 10:46:02 GMT 2024","5941","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Mon Feb 12 10:47:46 GMT 2024","Mon Feb 12 10:47:53 GMT 2024","6413","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Mon Feb 12 10:47:07 GMT 2024","Mon Feb 12 10:47:13 GMT 2024","6404","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Mon Feb 12 10:45:33 GMT 2024","Mon Feb 12 10:45:40 GMT 2024","7443","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
