"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 15 11:13:34 GMT 2024","Thu Feb 15 11:13:37 GMT 2024","2851","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Feb 15 11:13:14 GMT 2024","Thu Feb 15 11:13:26 GMT 2024","11551","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Feb 15 11:12:28 GMT 2024","Thu Feb 15 11:12:35 GMT 2024","6516","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Thu Feb 15 11:12:21 GMT 2024","Thu Feb 15 11:12:28 GMT 2024","6730","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Thu Feb 15 11:14:39 GMT 2024","Thu Feb 15 11:14:46 GMT 2024","7444","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Feb 15 11:12:43 GMT 2024","Thu Feb 15 11:12:47 GMT 2024","4577","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Thu Feb 15 11:14:31 GMT 2024","Thu Feb 15 11:14:37 GMT 2024","6495","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Thu Feb 15 11:14:05 GMT 2024","Thu Feb 15 11:14:11 GMT 2024","6367","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Thu Feb 15 11:13:38 GMT 2024","Thu Feb 15 11:13:46 GMT 2024","7760","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Thu Feb 15 11:14:11 GMT 2024","Thu Feb 15 11:14:18 GMT 2024","6717","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Thu Feb 15 11:13:46 GMT 2024","Thu Feb 15 11:13:52 GMT 2024","6611","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Thu Feb 15 11:12:13 GMT 2024","Thu Feb 15 11:12:21 GMT 2024","8020","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Thu Feb 15 11:13:52 GMT 2024","Thu Feb 15 11:13:59 GMT 2024","6271","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Thu Feb 15 11:14:18 GMT 2024","Thu Feb 15 11:14:24 GMT 2024","6253","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Thu Feb 15 11:13:26 GMT 2024","Thu Feb 15 11:13:34 GMT 2024","8096","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Thu Feb 15 11:13:59 GMT 2024","Thu Feb 15 11:14:05 GMT 2024","6299","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Thu Feb 15 11:14:24 GMT 2024","Thu Feb 15 11:14:31 GMT 2024","6248","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Thu Feb 15 11:12:47 GMT 2024","Thu Feb 15 11:12:50 GMT 2024","2855","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Thu Feb 15 11:12:35 GMT 2024","Thu Feb 15 11:12:41 GMT 2024","6538","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
