"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 06 10:48:40 GMT 2023","Wed Dec 06 10:48:46 GMT 2023","6267","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Wed Dec 06 10:46:49 GMT 2023","Wed Dec 06 10:46:57 GMT 2023","8176","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Wed Dec 06 10:49:06 GMT 2023","Wed Dec 06 10:49:14 GMT 2023","7447","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Wed Dec 06 10:48:28 GMT 2023","Wed Dec 06 10:48:33 GMT 2023","5740","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Wed Dec 06 10:47:44 GMT 2023","Wed Dec 06 10:47:56 GMT 2023","11862","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Wed Dec 06 10:48:04 GMT 2023","Wed Dec 06 10:48:07 GMT 2023","2513","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Wed Dec 06 10:48:46 GMT 2023","Wed Dec 06 10:48:52 GMT 2023","6397","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Wed Dec 06 10:47:03 GMT 2023","Wed Dec 06 10:47:09 GMT 2023","6061","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Wed Dec 06 10:48:52 GMT 2023","Wed Dec 06 10:48:59 GMT 2023","6416","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Wed Dec 06 10:47:56 GMT 2023","Wed Dec 06 10:48:04 GMT 2023","7884","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Wed Dec 06 10:48:33 GMT 2023","Wed Dec 06 10:48:40 GMT 2023","6271","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Wed Dec 06 10:47:17 GMT 2023","Wed Dec 06 10:47:21 GMT 2023","3896","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Wed Dec 06 10:47:09 GMT 2023","Wed Dec 06 10:47:15 GMT 2023","6006","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Wed Dec 06 10:48:08 GMT 2023","Wed Dec 06 10:48:15 GMT 2023","6685","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Wed Dec 06 10:48:59 GMT 2023","Wed Dec 06 10:49:05 GMT 2023","6167","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Wed Dec 06 10:46:57 GMT 2023","Wed Dec 06 10:47:03 GMT 2023","6513","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Wed Dec 06 10:48:15 GMT 2023","Wed Dec 06 10:48:21 GMT 2023","6154","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Wed Dec 06 10:48:21 GMT 2023","Wed Dec 06 10:48:28 GMT 2023","6304","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Wed Dec 06 10:47:21 GMT 2023","Wed Dec 06 10:47:23 GMT 2023","2335","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
