"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 26 11:13:04 GMT 2023","Tue Dec 26 11:13:11 GMT 2023","7220","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Tue Dec 26 11:12:48 GMT 2023","Tue Dec 26 11:12:57 GMT 2023","9560","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Tue Dec 26 11:13:54 GMT 2023","Tue Dec 26 11:14:01 GMT 2023","6651","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Tue Dec 26 11:11:26 GMT 2023","Tue Dec 26 11:11:33 GMT 2023","7236","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Tue Dec 26 11:13:37 GMT 2023","Tue Dec 26 11:13:47 GMT 2023","9918","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Tue Dec 26 11:11:33 GMT 2023","Tue Dec 26 11:11:40 GMT 2023","6446","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Tue Dec 26 11:11:48 GMT 2023","Tue Dec 26 11:11:54 GMT 2023","5870","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Tue Dec 26 11:12:21 GMT 2023","Tue Dec 26 11:12:34 GMT 2023","13018","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Tue Dec 26 11:13:26 GMT 2023","Tue Dec 26 11:13:37 GMT 2023","10762","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Tue Dec 26 11:14:02 GMT 2023","Tue Dec 26 11:14:12 GMT 2023","9773","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Tue Dec 26 11:11:54 GMT 2023","Tue Dec 26 11:11:57 GMT 2023","3285","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Tue Dec 26 11:11:16 GMT 2023","Tue Dec 26 11:11:26 GMT 2023","9918","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Tue Dec 26 11:13:47 GMT 2023","Tue Dec 26 11:13:54 GMT 2023","7229","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Tue Dec 26 11:12:57 GMT 2023","Tue Dec 26 11:13:04 GMT 2023","6750","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Tue Dec 26 11:12:34 GMT 2023","Tue Dec 26 11:12:43 GMT 2023","8833","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Tue Dec 26 11:12:43 GMT 2023","Tue Dec 26 11:12:46 GMT 2023","3116","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Tue Dec 26 11:13:11 GMT 2023","Tue Dec 26 11:13:19 GMT 2023","7311","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Tue Dec 26 11:11:40 GMT 2023","Tue Dec 26 11:11:46 GMT 2023","6714","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Tue Dec 26 11:13:19 GMT 2023","Tue Dec 26 11:13:26 GMT 2023","7261","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
