"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 11:00:08 GMT 2024","Wed Feb 28 11:00:11 GMT 2024","3266","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Wed Feb 28 10:59:42 GMT 2024","Wed Feb 28 10:59:48 GMT 2024","6628","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Wed Feb 28 11:02:00 GMT 2024","Wed Feb 28 11:02:07 GMT 2024","7382","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Wed Feb 28 11:01:45 GMT 2024","Wed Feb 28 11:01:52 GMT 2024","6606","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Wed Feb 28 10:59:55 GMT 2024","Wed Feb 28 11:00:01 GMT 2024","6530","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Wed Feb 28 11:01:19 GMT 2024","Wed Feb 28 11:01:26 GMT 2024","6321","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Wed Feb 28 11:00:46 GMT 2024","Wed Feb 28 11:00:54 GMT 2024","8335","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Wed Feb 28 11:00:59 GMT 2024","Wed Feb 28 11:01:06 GMT 2024","7743","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Wed Feb 28 11:00:34 GMT 2024","Wed Feb 28 11:00:46 GMT 2024","11177","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Wed Feb 28 11:01:32 GMT 2024","Wed Feb 28 11:01:38 GMT 2024","6263","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Wed Feb 28 11:00:54 GMT 2024","Wed Feb 28 11:00:57 GMT 2024","3125","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Wed Feb 28 11:01:52 GMT 2024","Wed Feb 28 11:01:58 GMT 2024","6592","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Wed Feb 28 11:01:06 GMT 2024","Wed Feb 28 11:01:13 GMT 2024","6641","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Wed Feb 28 10:59:32 GMT 2024","Wed Feb 28 10:59:42 GMT 2024","9283","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Wed Feb 28 11:01:38 GMT 2024","Wed Feb 28 11:01:45 GMT 2024","6404","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Wed Feb 28 11:00:03 GMT 2024","Wed Feb 28 11:00:08 GMT 2024","4734","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Wed Feb 28 10:59:48 GMT 2024","Wed Feb 28 10:59:55 GMT 2024","6509","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Wed Feb 28 11:01:13 GMT 2024","Wed Feb 28 11:01:19 GMT 2024","6204","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Wed Feb 28 11:01:26 GMT 2024","Wed Feb 28 11:01:32 GMT 2024","6543","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
