"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 11:14:17 GMT 2023","Wed Nov 08 11:14:19 GMT 2023","2656","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Nov 08 11:13:07 GMT 2023","Wed Nov 08 11:13:13 GMT 2023","6087","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Wed Nov 08 11:14:21 GMT 2023","Wed Nov 08 11:14:28 GMT 2023","6795","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Wed Nov 08 11:13:19 GMT 2023","Wed Nov 08 11:13:25 GMT 2023","5976","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Wed Nov 08 11:14:33 GMT 2023","Wed Nov 08 11:14:39 GMT 2023","5750","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Wed Nov 08 11:14:55 GMT 2023","Wed Nov 08 11:15:01 GMT 2023","6694","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Wed Nov 08 11:15:01 GMT 2023","Wed Nov 08 11:15:08 GMT 2023","6171","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Wed Nov 08 11:13:26 GMT 2023","Wed Nov 08 11:13:30 GMT 2023","3822","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Wed Nov 08 11:14:09 GMT 2023","Wed Nov 08 11:14:17 GMT 2023","7997","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Wed Nov 08 11:15:08 GMT 2023","Wed Nov 08 11:15:14 GMT 2023","6204","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Wed Nov 08 11:14:39 GMT 2023","Wed Nov 08 11:14:48 GMT 2023","9017","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Wed Nov 08 11:13:30 GMT 2023","Wed Nov 08 11:13:33 GMT 2023","3014","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Wed Nov 08 11:15:22 GMT 2023","Wed Nov 08 11:15:29 GMT 2023","7418","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Wed Nov 08 11:15:14 GMT 2023","Wed Nov 08 11:15:20 GMT 2023","5963","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Wed Nov 08 11:13:13 GMT 2023","Wed Nov 08 11:13:19 GMT 2023","5950","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Nov 08 11:12:59 GMT 2023","Wed Nov 08 11:13:07 GMT 2023","7227","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Wed Nov 08 11:14:28 GMT 2023","Wed Nov 08 11:14:33 GMT 2023","5662","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Wed Nov 08 11:13:57 GMT 2023","Wed Nov 08 11:14:09 GMT 2023","11746","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Wed Nov 08 11:14:48 GMT 2023","Wed Nov 08 11:14:55 GMT 2023","6466","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
