"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 30 10:39:13 GMT 2023","Thu Nov 30 10:39:21 GMT 2023","7580","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Thu Nov 30 10:41:22 GMT 2023","Thu Nov 30 10:41:30 GMT 2023","7381","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Nov 30 10:39:35 GMT 2023","Thu Nov 30 10:39:41 GMT 2023","6414","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Nov 30 10:39:28 GMT 2023","Thu Nov 30 10:39:35 GMT 2023","6605","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Thu Nov 30 10:40:56 GMT 2023","Thu Nov 30 10:41:02 GMT 2023","5816","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Thu Nov 30 10:40:20 GMT 2023","Thu Nov 30 10:40:24 GMT 2023","3062","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Nov 30 10:39:47 GMT 2023","Thu Nov 30 10:39:49 GMT 2023","2452","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Thu Nov 30 10:41:15 GMT 2023","Thu Nov 30 10:41:20 GMT 2023","5967","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Thu Nov 30 10:40:50 GMT 2023","Thu Nov 30 10:40:56 GMT 2023","6296","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Thu Nov 30 10:40:06 GMT 2023","Thu Nov 30 10:40:14 GMT 2023","7981","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Thu Nov 30 10:40:32 GMT 2023","Thu Nov 30 10:40:38 GMT 2023","5641","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Thu Nov 30 10:40:44 GMT 2023","Thu Nov 30 10:40:50 GMT 2023","6214","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Thu Nov 30 10:39:21 GMT 2023","Thu Nov 30 10:39:28 GMT 2023","6950","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Thu Nov 30 10:41:08 GMT 2023","Thu Nov 30 10:41:14 GMT 2023","6248","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Thu Nov 30 10:40:14 GMT 2023","Thu Nov 30 10:40:20 GMT 2023","6796","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Thu Nov 30 10:40:38 GMT 2023","Thu Nov 30 10:40:44 GMT 2023","5766","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Thu Nov 30 10:40:25 GMT 2023","Thu Nov 30 10:40:32 GMT 2023","7240","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Thu Nov 30 10:41:02 GMT 2023","Thu Nov 30 10:41:08 GMT 2023","5926","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Thu Nov 30 10:39:43 GMT 2023","Thu Nov 30 10:39:47 GMT 2023","4275","","Validação da home principal","","","","Deve validar o banner do portal",""
