"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 02 10:39:11 GMT 2024","Tue Jan 02 10:39:18 GMT 2024","7121","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Tue Jan 02 10:39:04 GMT 2024","Tue Jan 02 10:39:11 GMT 2024","6912","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Tue Jan 02 10:38:04 GMT 2024","Tue Jan 02 10:38:08 GMT 2024","3277","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Tue Jan 02 10:39:45 GMT 2024","Tue Jan 02 10:39:52 GMT 2024","6555","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Tue Jan 02 10:37:26 GMT 2024","Tue Jan 02 10:37:36 GMT 2024","9917","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Tue Jan 02 10:38:35 GMT 2024","Tue Jan 02 10:38:43 GMT 2024","7404","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Tue Jan 02 10:37:58 GMT 2024","Tue Jan 02 10:38:04 GMT 2024","5905","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Tue Jan 02 10:39:32 GMT 2024","Tue Jan 02 10:39:39 GMT 2024","6662","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Tue Jan 02 10:39:18 GMT 2024","Tue Jan 02 10:39:25 GMT 2024","6957","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Tue Jan 02 10:39:54 GMT 2024","Tue Jan 02 10:40:03 GMT 2024","9400","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Tue Jan 02 10:38:43 GMT 2024","Tue Jan 02 10:38:46 GMT 2024","3748","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Tue Jan 02 10:39:39 GMT 2024","Tue Jan 02 10:39:45 GMT 2024","6651","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Tue Jan 02 10:38:26 GMT 2024","Tue Jan 02 10:38:35 GMT 2024","9102","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Tue Jan 02 10:37:50 GMT 2024","Tue Jan 02 10:37:57 GMT 2024","6595","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Tue Jan 02 10:39:25 GMT 2024","Tue Jan 02 10:39:32 GMT 2024","6970","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Tue Jan 02 10:38:57 GMT 2024","Tue Jan 02 10:39:04 GMT 2024","6701","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Tue Jan 02 10:37:36 GMT 2024","Tue Jan 02 10:37:43 GMT 2024","6779","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Tue Jan 02 10:38:48 GMT 2024","Tue Jan 02 10:38:57 GMT 2024","9144","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Tue Jan 02 10:37:43 GMT 2024","Tue Jan 02 10:37:50 GMT 2024","7268","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
