"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 16 10:10:49 GMT 2023","Thu Nov 16 10:10:55 GMT 2023","6385","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Nov 16 10:10:35 GMT 2023","Thu Nov 16 10:10:42 GMT 2023","6855","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Thu Nov 16 10:10:26 GMT 2023","Thu Nov 16 10:10:35 GMT 2023","9632","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Thu Nov 16 10:11:22 GMT 2023","Thu Nov 16 10:11:32 GMT 2023","9473","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Thu Nov 16 10:11:32 GMT 2023","Thu Nov 16 10:11:38 GMT 2023","6513","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Thu Nov 16 10:11:38 GMT 2023","Thu Nov 16 10:11:42 GMT 2023","3279","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Thu Nov 16 10:11:43 GMT 2023","Thu Nov 16 10:11:53 GMT 2023","9649","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Thu Nov 16 10:12:44 GMT 2023","Thu Nov 16 10:12:53 GMT 2023","9037","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Thu Nov 16 10:12:36 GMT 2023","Thu Nov 16 10:12:42 GMT 2023","6210","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Thu Nov 16 10:11:03 GMT 2023","Thu Nov 16 10:11:06 GMT 2023","2495","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Thu Nov 16 10:12:29 GMT 2023","Thu Nov 16 10:12:36 GMT 2023","6476","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Thu Nov 16 10:12:11 GMT 2023","Thu Nov 16 10:12:17 GMT 2023","5876","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Thu Nov 16 10:12:06 GMT 2023","Thu Nov 16 10:12:11 GMT 2023","5966","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Thu Nov 16 10:11:59 GMT 2023","Thu Nov 16 10:12:05 GMT 2023","6054","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Thu Nov 16 10:12:23 GMT 2023","Thu Nov 16 10:12:29 GMT 2023","6106","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Thu Nov 16 10:11:53 GMT 2023","Thu Nov 16 10:11:59 GMT 2023","6546","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Thu Nov 16 10:10:57 GMT 2023","Thu Nov 16 10:11:03 GMT 2023","6028","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Thu Nov 16 10:12:17 GMT 2023","Thu Nov 16 10:12:23 GMT 2023","5940","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Thu Nov 16 10:10:42 GMT 2023","Thu Nov 16 10:10:49 GMT 2023","6799","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
