"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 10:36:22 GMT 2023","Tue Dec 26 10:36:25 GMT 2023","3334","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Tue Dec 26 10:37:41 GMT 2023","Tue Dec 26 10:37:47 GMT 2023","6372","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Tue Dec 26 10:38:15 GMT 2023","Tue Dec 26 10:38:22 GMT 2023","6742","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Tue Dec 26 10:36:01 GMT 2023","Tue Dec 26 10:36:07 GMT 2023","6677","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Tue Dec 26 10:38:23 GMT 2023","Tue Dec 26 10:38:32 GMT 2023","9209","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Tue Dec 26 10:35:43 GMT 2023","Tue Dec 26 10:35:53 GMT 2023","10090","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Tue Dec 26 10:37:27 GMT 2023","Tue Dec 26 10:37:35 GMT 2023","7225","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Tue Dec 26 10:37:55 GMT 2023","Tue Dec 26 10:38:01 GMT 2023","6568","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Tue Dec 26 10:38:08 GMT 2023","Tue Dec 26 10:38:15 GMT 2023","6509","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Tue Dec 26 10:37:04 GMT 2023","Tue Dec 26 10:37:12 GMT 2023","8820","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Tue Dec 26 10:37:12 GMT 2023","Tue Dec 26 10:37:16 GMT 2023","3634","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Tue Dec 26 10:38:01 GMT 2023","Tue Dec 26 10:38:08 GMT 2023","7085","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Tue Dec 26 10:36:50 GMT 2023","Tue Dec 26 10:37:03 GMT 2023","13236","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Tue Dec 26 10:36:16 GMT 2023","Tue Dec 26 10:36:22 GMT 2023","6129","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Tue Dec 26 10:37:35 GMT 2023","Tue Dec 26 10:37:41 GMT 2023","6517","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Tue Dec 26 10:35:54 GMT 2023","Tue Dec 26 10:36:01 GMT 2023","7128","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Tue Dec 26 10:37:48 GMT 2023","Tue Dec 26 10:37:55 GMT 2023","7118","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Tue Dec 26 10:36:07 GMT 2023","Tue Dec 26 10:36:14 GMT 2023","6739","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Tue Dec 26 10:37:18 GMT 2023","Tue Dec 26 10:37:27 GMT 2023","9679","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
