"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 11:05:28 GMT 2024","Wed Jan 10 11:05:37 GMT 2024","8581","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Jan 10 11:04:50 GMT 2024","Wed Jan 10 11:04:53 GMT 2024","3259","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Wed Jan 10 11:06:36 GMT 2024","Wed Jan 10 11:06:42 GMT 2024","6493","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Wed Jan 10 11:05:56 GMT 2024","Wed Jan 10 11:06:03 GMT 2024","7131","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Wed Jan 10 11:04:45 GMT 2024","Wed Jan 10 11:04:50 GMT 2024","4688","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Wed Jan 10 11:06:03 GMT 2024","Wed Jan 10 11:06:10 GMT 2024","6877","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Wed Jan 10 11:05:37 GMT 2024","Wed Jan 10 11:05:40 GMT 2024","3064","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Jan 10 11:04:30 GMT 2024","Wed Jan 10 11:04:37 GMT 2024","6535","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Wed Jan 10 11:05:42 GMT 2024","Wed Jan 10 11:05:50 GMT 2024","7910","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Wed Jan 10 11:05:17 GMT 2024","Wed Jan 10 11:05:28 GMT 2024","11525","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Wed Jan 10 11:06:29 GMT 2024","Wed Jan 10 11:06:36 GMT 2024","6506","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Wed Jan 10 11:06:44 GMT 2024","Wed Jan 10 11:06:52 GMT 2024","7887","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Jan 10 11:04:37 GMT 2024","Wed Jan 10 11:04:43 GMT 2024","6683","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Wed Jan 10 11:04:15 GMT 2024","Wed Jan 10 11:04:23 GMT 2024","8350","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Wed Jan 10 11:05:50 GMT 2024","Wed Jan 10 11:05:56 GMT 2024","6553","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Wed Jan 10 11:06:23 GMT 2024","Wed Jan 10 11:06:29 GMT 2024","6283","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Wed Jan 10 11:06:10 GMT 2024","Wed Jan 10 11:06:17 GMT 2024","6565","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Wed Jan 10 11:04:23 GMT 2024","Wed Jan 10 11:04:30 GMT 2024","6925","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Wed Jan 10 11:06:17 GMT 2024","Wed Jan 10 11:06:23 GMT 2024","6110","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
