"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 22 10:50:29 GMT 2024","Mon Jan 22 10:50:39 GMT 2024","9719","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Mon Jan 22 10:51:06 GMT 2024","Mon Jan 22 10:51:13 GMT 2024","7049","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Mon Jan 22 10:49:18 GMT 2024","Mon Jan 22 10:49:25 GMT 2024","6531","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Mon Jan 22 10:49:33 GMT 2024","Mon Jan 22 10:49:36 GMT 2024","3368","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Mon Jan 22 10:50:02 GMT 2024","Mon Jan 22 10:50:15 GMT 2024","13438","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Mon Jan 22 10:48:53 GMT 2024","Mon Jan 22 10:49:03 GMT 2024","10257","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Mon Jan 22 10:51:13 GMT 2024","Mon Jan 22 10:51:20 GMT 2024","6595","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Mon Jan 22 10:50:39 GMT 2024","Mon Jan 22 10:50:46 GMT 2024","7393","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Mon Jan 22 10:50:59 GMT 2024","Mon Jan 22 10:51:06 GMT 2024","6777","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Mon Jan 22 10:49:03 GMT 2024","Mon Jan 22 10:49:11 GMT 2024","8465","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Mon Jan 22 10:50:16 GMT 2024","Mon Jan 22 10:50:24 GMT 2024","8742","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Mon Jan 22 10:50:46 GMT 2024","Mon Jan 22 10:50:53 GMT 2024","6478","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Mon Jan 22 10:50:24 GMT 2024","Mon Jan 22 10:50:27 GMT 2024","3164","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Mon Jan 22 10:51:20 GMT 2024","Mon Jan 22 10:51:27 GMT 2024","6971","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Mon Jan 22 10:50:53 GMT 2024","Mon Jan 22 10:50:59 GMT 2024","6507","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Mon Jan 22 10:51:27 GMT 2024","Mon Jan 22 10:51:33 GMT 2024","6771","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Mon Jan 22 10:51:35 GMT 2024","Mon Jan 22 10:51:44 GMT 2024","8876","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Mon Jan 22 10:49:11 GMT 2024","Mon Jan 22 10:49:18 GMT 2024","6692","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Mon Jan 22 10:49:26 GMT 2024","Mon Jan 22 10:49:33 GMT 2024","6600","","Validação da home principal","","","","Deve validar o banner do portal",""
