"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 22 10:11:30 GMT 2024","Thu Feb 22 10:11:37 GMT 2024","7035","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Thu Feb 22 10:10:59 GMT 2024","Thu Feb 22 10:11:09 GMT 2024","9805","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Thu Feb 22 10:12:06 GMT 2024","Thu Feb 22 10:12:16 GMT 2024","10267","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Feb 22 10:09:42 GMT 2024","Thu Feb 22 10:09:49 GMT 2024","6841","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Thu Feb 22 10:10:34 GMT 2024","Thu Feb 22 10:10:44 GMT 2024","10751","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Thu Feb 22 10:11:15 GMT 2024","Thu Feb 22 10:11:23 GMT 2024","7277","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Thu Feb 22 10:10:11 GMT 2024","Thu Feb 22 10:10:14 GMT 2024","3408","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Thu Feb 22 10:10:45 GMT 2024","Thu Feb 22 10:10:52 GMT 2024","7920","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Thu Feb 22 10:11:37 GMT 2024","Thu Feb 22 10:11:44 GMT 2024","7115","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Thu Feb 22 10:11:09 GMT 2024","Thu Feb 22 10:11:15 GMT 2024","6769","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Thu Feb 22 10:11:44 GMT 2024","Thu Feb 22 10:11:50 GMT 2024","6461","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Thu Feb 22 10:09:31 GMT 2024","Thu Feb 22 10:09:42 GMT 2024","11083","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Thu Feb 22 10:09:56 GMT 2024","Thu Feb 22 10:10:03 GMT 2024","6776","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Feb 22 10:10:52 GMT 2024","Thu Feb 22 10:10:57 GMT 2024","4625","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Thu Feb 22 10:11:50 GMT 2024","Thu Feb 22 10:11:58 GMT 2024","7559","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Thu Feb 22 10:09:49 GMT 2024","Thu Feb 22 10:09:56 GMT 2024","7021","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Thu Feb 22 10:11:58 GMT 2024","Thu Feb 22 10:12:05 GMT 2024","6536","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Thu Feb 22 10:11:23 GMT 2024","Thu Feb 22 10:11:30 GMT 2024","7058","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Thu Feb 22 10:10:05 GMT 2024","Thu Feb 22 10:10:11 GMT 2024","6060","","Validação da home principal","","","","Deve validar o banner do portal",""
