"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 10:11:04 GMT 2023","Mon Nov 27 10:11:12 GMT 2023","7431","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Mon Nov 27 10:12:36 GMT 2023","Mon Nov 27 10:12:43 GMT 2023","6226","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Mon Nov 27 10:12:24 GMT 2023","Mon Nov 27 10:12:30 GMT 2023","6355","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Mon Nov 27 10:12:48 GMT 2023","Mon Nov 27 10:12:55 GMT 2023","6333","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Mon Nov 27 10:13:07 GMT 2023","Mon Nov 27 10:13:14 GMT 2023","6790","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Mon Nov 27 10:13:16 GMT 2023","Mon Nov 27 10:13:24 GMT 2023","8001","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Mon Nov 27 10:12:05 GMT 2023","Mon Nov 27 10:12:12 GMT 2023","6884","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Mon Nov 27 10:12:55 GMT 2023","Mon Nov 27 10:13:01 GMT 2023","6372","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Mon Nov 27 10:11:26 GMT 2023","Mon Nov 27 10:11:32 GMT 2023","6516","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Mon Nov 27 10:11:19 GMT 2023","Mon Nov 27 10:11:26 GMT 2023","6520","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Mon Nov 27 10:13:01 GMT 2023","Mon Nov 27 10:13:07 GMT 2023","5891","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Mon Nov 27 10:12:43 GMT 2023","Mon Nov 27 10:12:48 GMT 2023","5768","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Mon Nov 27 10:11:57 GMT 2023","Mon Nov 27 10:12:05 GMT 2023","7575","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Mon Nov 27 10:11:34 GMT 2023","Mon Nov 27 10:11:38 GMT 2023","4265","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Mon Nov 27 10:12:12 GMT 2023","Mon Nov 27 10:12:15 GMT 2023","3078","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Mon Nov 27 10:12:16 GMT 2023","Mon Nov 27 10:12:24 GMT 2023","7828","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Mon Nov 27 10:11:38 GMT 2023","Mon Nov 27 10:11:41 GMT 2023","2530","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Mon Nov 27 10:11:12 GMT 2023","Mon Nov 27 10:11:19 GMT 2023","7845","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Mon Nov 27 10:12:31 GMT 2023","Mon Nov 27 10:12:36 GMT 2023","5927","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
