"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 10 10:28:53 GMT 2023","Fri Nov 10 10:29:01 GMT 2023","7408","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Fri Nov 10 10:30:30 GMT 2023","Fri Nov 10 10:30:38 GMT 2023","7443","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Fri Nov 10 10:28:46 GMT 2023","Fri Nov 10 10:28:53 GMT 2023","7356","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Fri Nov 10 10:31:16 GMT 2023","Fri Nov 10 10:31:23 GMT 2023","6990","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Fri Nov 10 10:29:12 GMT 2023","Fri Nov 10 10:29:18 GMT 2023","6901","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Fri Nov 10 10:30:05 GMT 2023","Fri Nov 10 10:30:09 GMT 2023","4582","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Fri Nov 10 10:29:01 GMT 2023","Fri Nov 10 10:29:09 GMT 2023","8112","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Fri Nov 10 10:30:12 GMT 2023","Fri Nov 10 10:30:23 GMT 2023","10648","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Fri Nov 10 10:31:01 GMT 2023","Fri Nov 10 10:31:09 GMT 2023","7597","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Fri Nov 10 10:29:46 GMT 2023","Fri Nov 10 10:29:56 GMT 2023","10902","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Fri Nov 10 10:30:38 GMT 2023","Fri Nov 10 10:30:46 GMT 2023","8402","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Fri Nov 10 10:31:25 GMT 2023","Fri Nov 10 10:31:37 GMT 2023","12010","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Fri Nov 10 10:29:56 GMT 2023","Fri Nov 10 10:30:05 GMT 2023","8163","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Fri Nov 10 10:29:18 GMT 2023","Fri Nov 10 10:29:22 GMT 2023","3964","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Fri Nov 10 10:28:35 GMT 2023","Fri Nov 10 10:28:46 GMT 2023","10936","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Fri Nov 10 10:31:09 GMT 2023","Fri Nov 10 10:31:16 GMT 2023","7335","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Fri Nov 10 10:30:54 GMT 2023","Fri Nov 10 10:31:01 GMT 2023","7508","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Fri Nov 10 10:30:46 GMT 2023","Fri Nov 10 10:30:54 GMT 2023","7418","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Fri Nov 10 10:30:23 GMT 2023","Fri Nov 10 10:30:30 GMT 2023","7501","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
