"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 10:11:01 GMT 2024","Fri Feb 23 10:11:09 GMT 2024","7911","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Fri Feb 23 10:13:10 GMT 2024","Fri Feb 23 10:13:17 GMT 2024","7072","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Fri Feb 23 10:12:29 GMT 2024","Fri Feb 23 10:12:36 GMT 2024","6877","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Fri Feb 23 10:11:16 GMT 2024","Fri Feb 23 10:11:22 GMT 2024","6562","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Fri Feb 23 10:12:57 GMT 2024","Fri Feb 23 10:13:03 GMT 2024","6369","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Fri Feb 23 10:13:03 GMT 2024","Fri Feb 23 10:13:09 GMT 2024","6570","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Fri Feb 23 10:11:35 GMT 2024","Fri Feb 23 10:11:38 GMT 2024","3337","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Fri Feb 23 10:11:09 GMT 2024","Fri Feb 23 10:11:16 GMT 2024","7065","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Fri Feb 23 10:12:04 GMT 2024","Fri Feb 23 10:12:10 GMT 2024","6526","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Fri Feb 23 10:12:10 GMT 2024","Fri Feb 23 10:12:14 GMT 2024","3218","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Fri Feb 23 10:12:43 GMT 2024","Fri Feb 23 10:12:51 GMT 2024","7365","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Fri Feb 23 10:11:56 GMT 2024","Fri Feb 23 10:12:04 GMT 2024","7913","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Fri Feb 23 10:12:36 GMT 2024","Fri Feb 23 10:12:43 GMT 2024","6992","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Fri Feb 23 10:11:30 GMT 2024","Fri Feb 23 10:11:35 GMT 2024","4467","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Fri Feb 23 10:13:18 GMT 2024","Fri Feb 23 10:13:26 GMT 2024","7760","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Fri Feb 23 10:12:51 GMT 2024","Fri Feb 23 10:12:56 GMT 2024","5906","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Fri Feb 23 10:12:15 GMT 2024","Fri Feb 23 10:12:23 GMT 2024","7654","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Fri Feb 23 10:11:22 GMT 2024","Fri Feb 23 10:11:29 GMT 2024","6466","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Fri Feb 23 10:12:23 GMT 2024","Fri Feb 23 10:12:29 GMT 2024","6404","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
