"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 15 10:11:25 GMT 2024","Thu Feb 15 10:11:29 GMT 2024","4462","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Thu Feb 15 10:12:30 GMT 2024","Thu Feb 15 10:12:36 GMT 2024","6321","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Thu Feb 15 10:13:23 GMT 2024","Thu Feb 15 10:13:30 GMT 2024","7679","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Feb 15 10:11:16 GMT 2024","Thu Feb 15 10:11:23 GMT 2024","6489","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Thu Feb 15 10:13:02 GMT 2024","Thu Feb 15 10:13:08 GMT 2024","6240","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Thu Feb 15 10:12:55 GMT 2024","Thu Feb 15 10:13:02 GMT 2024","7231","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Thu Feb 15 10:11:03 GMT 2024","Thu Feb 15 10:11:10 GMT 2024","6980","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Thu Feb 15 10:13:08 GMT 2024","Thu Feb 15 10:13:15 GMT 2024","6417","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Thu Feb 15 10:10:55 GMT 2024","Thu Feb 15 10:11:03 GMT 2024","8504","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Thu Feb 15 10:11:10 GMT 2024","Thu Feb 15 10:11:16 GMT 2024","6034","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Thu Feb 15 10:11:56 GMT 2024","Thu Feb 15 10:12:08 GMT 2024","11780","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Feb 15 10:11:29 GMT 2024","Thu Feb 15 10:11:32 GMT 2024","3288","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Thu Feb 15 10:12:49 GMT 2024","Thu Feb 15 10:12:55 GMT 2024","6022","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Thu Feb 15 10:12:17 GMT 2024","Thu Feb 15 10:12:20 GMT 2024","3119","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Thu Feb 15 10:12:42 GMT 2024","Thu Feb 15 10:12:49 GMT 2024","6487","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Thu Feb 15 10:12:36 GMT 2024","Thu Feb 15 10:12:42 GMT 2024","6398","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Thu Feb 15 10:13:15 GMT 2024","Thu Feb 15 10:13:21 GMT 2024","6233","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Thu Feb 15 10:12:08 GMT 2024","Thu Feb 15 10:12:17 GMT 2024","8567","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Thu Feb 15 10:12:22 GMT 2024","Thu Feb 15 10:12:30 GMT 2024","7970","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
