"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 07 10:40:03 GMT 2023","Thu Dec 07 10:40:06 GMT 2023","3248","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Thu Dec 07 10:41:47 GMT 2023","Thu Dec 07 10:41:54 GMT 2023","6821","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Thu Dec 07 10:41:54 GMT 2023","Thu Dec 07 10:42:00 GMT 2023","6449","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Thu Dec 07 10:41:13 GMT 2023","Thu Dec 07 10:41:19 GMT 2023","6392","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Thu Dec 07 10:42:02 GMT 2023","Thu Dec 07 10:42:11 GMT 2023","8657","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Dec 07 10:39:42 GMT 2023","Thu Dec 07 10:39:49 GMT 2023","7096","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Thu Dec 07 10:41:40 GMT 2023","Thu Dec 07 10:41:47 GMT 2023","6843","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Thu Dec 07 10:41:27 GMT 2023","Thu Dec 07 10:41:33 GMT 2023","6512","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Thu Dec 07 10:40:52 GMT 2023","Thu Dec 07 10:40:56 GMT 2023","3341","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Dec 07 10:40:31 GMT 2023","Thu Dec 07 10:40:43 GMT 2023","12590","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Dec 07 10:39:35 GMT 2023","Thu Dec 07 10:39:42 GMT 2023","6684","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Thu Dec 07 10:41:20 GMT 2023","Thu Dec 07 10:41:27 GMT 2023","7145","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"passed","Thu Dec 07 10:39:57 GMT 2023","Thu Dec 07 10:40:03 GMT 2023","5353","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Thu Dec 07 10:41:06 GMT 2023","Thu Dec 07 10:41:13 GMT 2023","6628","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Thu Dec 07 10:40:43 GMT 2023","Thu Dec 07 10:40:52 GMT 2023","8950","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Thu Dec 07 10:40:57 GMT 2023","Thu Dec 07 10:41:06 GMT 2023","9108","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Thu Dec 07 10:39:49 GMT 2023","Thu Dec 07 10:39:56 GMT 2023","6670","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Dec 07 10:39:26 GMT 2023","Thu Dec 07 10:39:35 GMT 2023","9229","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Thu Dec 07 10:41:33 GMT 2023","Thu Dec 07 10:41:40 GMT 2023","6637","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
