"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 13 10:41:15 GMT 2023","Mon Nov 13 10:41:22 GMT 2023","7367","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Mon Nov 13 10:42:38 GMT 2023","Mon Nov 13 10:42:45 GMT 2023","7108","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Mon Nov 13 10:39:59 GMT 2023","Mon Nov 13 10:40:17 GMT 2023","17598","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Mon Nov 13 10:39:31 GMT 2023","Mon Nov 13 10:39:38 GMT 2023","6788","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Mon Nov 13 10:42:01 GMT 2023","Mon Nov 13 10:42:08 GMT 2023","6501","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Mon Nov 13 10:39:51 GMT 2023","Mon Nov 13 10:39:58 GMT 2023","6684","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Mon Nov 13 10:41:30 GMT 2023","Mon Nov 13 10:41:54 GMT 2023","23908","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Mon Nov 13 10:42:15 GMT 2023","Mon Nov 13 10:42:24 GMT 2023","9282","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Mon Nov 13 10:41:22 GMT 2023","Mon Nov 13 10:41:28 GMT 2023","6157","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Mon Nov 13 10:42:31 GMT 2023","Mon Nov 13 10:42:38 GMT 2023","6545","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Mon Nov 13 10:42:24 GMT 2023","Mon Nov 13 10:42:31 GMT 2023","7058","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Mon Nov 13 10:42:45 GMT 2023","Mon Nov 13 10:42:51 GMT 2023","6511","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Mon Nov 13 10:40:50 GMT 2023","Mon Nov 13 10:41:15 GMT 2023","25081","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Mon Nov 13 10:39:20 GMT 2023","Mon Nov 13 10:39:31 GMT 2023","11078","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Mon Nov 13 10:39:38 GMT 2023","Mon Nov 13 10:39:51 GMT 2023","13276","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Mon Nov 13 10:42:53 GMT 2023","Mon Nov 13 10:43:03 GMT 2023","9654","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Mon Nov 13 10:41:54 GMT 2023","Mon Nov 13 10:42:01 GMT 2023","7185","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Mon Nov 13 10:40:17 GMT 2023","Mon Nov 13 10:40:23 GMT 2023","6253","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Mon Nov 13 10:42:08 GMT 2023","Mon Nov 13 10:42:15 GMT 2023","7068","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
