"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 16 10:49:57 GMT 2023","Thu Nov 16 10:50:04 GMT 2023","6347","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Thu Nov 16 10:48:31 GMT 2023","Thu Nov 16 10:48:39 GMT 2023","7894","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Thu Nov 16 10:50:43 GMT 2023","Thu Nov 16 10:50:50 GMT 2023","6758","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Thu Nov 16 10:49:25 GMT 2023","Thu Nov 16 10:49:33 GMT 2023","8045","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Nov 16 10:48:46 GMT 2023","Thu Nov 16 10:48:52 GMT 2023","6387","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Thu Nov 16 10:49:00 GMT 2023","Thu Nov 16 10:49:04 GMT 2023","4358","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Thu Nov 16 10:49:33 GMT 2023","Thu Nov 16 10:49:40 GMT 2023","6423","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Thu Nov 16 10:50:10 GMT 2023","Thu Nov 16 10:50:16 GMT 2023","6266","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Thu Nov 16 10:50:16 GMT 2023","Thu Nov 16 10:50:23 GMT 2023","6680","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Thu Nov 16 10:49:51 GMT 2023","Thu Nov 16 10:49:57 GMT 2023","5867","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Thu Nov 16 10:49:44 GMT 2023","Thu Nov 16 10:49:51 GMT 2023","7518","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Thu Nov 16 10:50:04 GMT 2023","Thu Nov 16 10:50:10 GMT 2023","6246","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Thu Nov 16 10:50:36 GMT 2023","Thu Nov 16 10:50:42 GMT 2023","5975","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Thu Nov 16 10:48:39 GMT 2023","Thu Nov 16 10:48:46 GMT 2023","6541","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Thu Nov 16 10:50:23 GMT 2023","Thu Nov 16 10:50:30 GMT 2023","6795","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Thu Nov 16 10:48:52 GMT 2023","Thu Nov 16 10:48:59 GMT 2023","6389","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Nov 16 10:49:05 GMT 2023","Thu Nov 16 10:49:07 GMT 2023","2938","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Thu Nov 16 10:49:40 GMT 2023","Thu Nov 16 10:49:42 GMT 2023","2567","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Thu Nov 16 10:50:30 GMT 2023","Thu Nov 16 10:50:36 GMT 2023","5846","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
