"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 10 10:12:46 GMT 2024","Wed Jan 10 10:12:53 GMT 2024","6346","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Wed Jan 10 10:10:42 GMT 2024","Wed Jan 10 10:10:51 GMT 2024","8551","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Wed Jan 10 10:11:46 GMT 2024","Wed Jan 10 10:11:57 GMT 2024","11679","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Wed Jan 10 10:11:57 GMT 2024","Wed Jan 10 10:12:06 GMT 2024","8670","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Wed Jan 10 10:12:53 GMT 2024","Wed Jan 10 10:13:00 GMT 2024","7234","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"failed","Wed Jan 10 10:12:11 GMT 2024","Wed Jan 10 10:12:19 GMT 2024","8197","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Wed Jan 10 10:12:06 GMT 2024","Wed Jan 10 10:12:10 GMT 2024","3344","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Jan 10 10:10:51 GMT 2024","Wed Jan 10 10:10:58 GMT 2024","7207","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Wed Jan 10 10:12:19 GMT 2024","Wed Jan 10 10:12:26 GMT 2024","6999","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Wed Jan 10 10:13:06 GMT 2024","Wed Jan 10 10:13:13 GMT 2024","6459","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Wed Jan 10 10:13:15 GMT 2024","Wed Jan 10 10:13:23 GMT 2024","8034","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Jan 10 10:10:58 GMT 2024","Wed Jan 10 10:11:05 GMT 2024","7102","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Jan 10 10:11:05 GMT 2024","Wed Jan 10 10:11:12 GMT 2024","6568","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Wed Jan 10 10:12:33 GMT 2024","Wed Jan 10 10:12:39 GMT 2024","6354","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Wed Jan 10 10:13:00 GMT 2024","Wed Jan 10 10:13:06 GMT 2024","6451","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Wed Jan 10 10:12:26 GMT 2024","Wed Jan 10 10:12:33 GMT 2024","6571","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Wed Jan 10 10:12:39 GMT 2024","Wed Jan 10 10:12:46 GMT 2024","6898","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Wed Jan 10 10:11:13 GMT 2024","Wed Jan 10 10:11:18 GMT 2024","4817","","Validação da home principal","","","","Deve validar o banner do portal",""
"passed","Wed Jan 10 10:11:18 GMT 2024","Wed Jan 10 10:11:22 GMT 2024","3381","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
