"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 23 10:39:54 GMT 2023","Mon Oct 23 10:40:01 GMT 2023","6430","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"passed","Mon Oct 23 10:37:35 GMT 2023","Mon Oct 23 10:37:43 GMT 2023","8245","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Mon Oct 23 10:38:41 GMT 2023","Mon Oct 23 10:38:54 GMT 2023","12899","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Mon Oct 23 10:37:43 GMT 2023","Mon Oct 23 10:37:51 GMT 2023","7233","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Mon Oct 23 10:39:23 GMT 2023","Mon Oct 23 10:39:29 GMT 2023","6157","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"passed","Mon Oct 23 10:38:54 GMT 2023","Mon Oct 23 10:39:03 GMT 2023","9376","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Mon Oct 23 10:39:48 GMT 2023","Mon Oct 23 10:39:54 GMT 2023","6334","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Mon Oct 23 10:38:11 GMT 2023","Mon Oct 23 10:38:15 GMT 2023","3675","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"failed","Mon Oct 23 10:40:10 GMT 2023","Mon Oct 23 10:40:19 GMT 2023","9355","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Mon Oct 23 10:40:01 GMT 2023","Mon Oct 23 10:40:07 GMT 2023","6615","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"failed","Mon Oct 23 10:39:16 GMT 2023","Mon Oct 23 10:39:23 GMT 2023","6585","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"passed","Mon Oct 23 10:37:58 GMT 2023","Mon Oct 23 10:38:04 GMT 2023","6474","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Mon Oct 23 10:39:03 GMT 2023","Mon Oct 23 10:39:06 GMT 2023","3134","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Mon Oct 23 10:39:41 GMT 2023","Mon Oct 23 10:39:48 GMT 2023","6238","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"passed","Mon Oct 23 10:38:06 GMT 2023","Mon Oct 23 10:38:11 GMT 2023","4926","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Mon Oct 23 10:39:09 GMT 2023","Mon Oct 23 10:39:16 GMT 2023","7373","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"failed","Mon Oct 23 10:39:29 GMT 2023","Mon Oct 23 10:39:35 GMT 2023","6283","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Mon Oct 23 10:39:35 GMT 2023","Mon Oct 23 10:39:41 GMT 2023","6202","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"passed","Mon Oct 23 10:37:51 GMT 2023","Mon Oct 23 10:37:58 GMT 2023","7037","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
